152	park-bruges-pittsburgh-2
153	pusadees-garden-pittsburgh
154	bistro-to-go-pittsburgh
155	benny-fierros-pittsburgh
156	braddocks-pittsburgh-brasserie-pittsburgh
157	istanbul-grille-pittsburgh-4
158	bea-taco-town-pittsburgh
159	peanut-butter-jelly-time-pittsburgh
160	thin-man-sandwich-shop-pittsburgh
161	dijlah-restaurant-and-cafe-pittsburgh
162	six-penn-kitchen-pittsburgh
163	hunan-bar-pittsburgh
164	spoon-pittsburgh
165	tooties-famous-italian-beef-pittsburgh
166	la-tavola-italiana-pittsburgh
167	alfreds-deli-and-market-pittsburgh
168	totopo-mexican-kitchen-and-bar-pittsburgh
169	daphne-cafe-pittsburgh
170	hello-bistro-pittsburgh
171	ten-penny-pittsburgh
172	salems-market-and-grill-pittsburgh
173	cioppino-pittsburgh
174	conicella-pizza-pittsburgh
175	smiling-banana-leaf-pittsburgh
176	double-wide-grill-pittsburgh
177	bangal-kabab-house-and-restaurant-pittsburgh
178	adolfos-restaurant-pittsburgh
179	sharp-edge-pittsburgh-4
180	the-greek-gourmet-pittsburgh
181	eddie-merlots-pittsburgh-pittsburgh
182	eden-pittsburgh
183	tan-lac-vien-pittsburgh
184	dons-diner-pittsburgh
185	la-gondola-pizzeria-and-restaurant-pittsburgh
186	two-louies-market-pittsburgh
187	sidelines-bar-and-grill-pittsburgh
188	los-cabos-mexican-restaurant-pittsburgh
189	teppanyaki-kyoto-pittsburgh
190	zarras-a-taste-of-southern-italy-pittsburgh
191	angkor-restaurant-pittsburgh
192	cafe-zinho-pittsburgh
193	cafe-io-pittsburgh
194	coca-cafe-pittsburgh
195	parkers-pgh-pittsburgh
196	kristas-cantina-pittsburgh
197	village-tavern-and-trattoria-pittsburgh
198	yovis-pittsburgh
199	pizzaiolo-primo-pittsburgh
200	arancini-house-pittsburgh
201	soho-pittsburgh
202	beta-bites-pittsburgh-2
203	diamond-market-bar-and-grill-pittsburgh
204	bfg-café-pittsburgh-2
205	independent-brewing-company-pittsburgh
206	lot-17-pittsburgh
207	chicken-latino-pittsburgh
208	p-and-gs-pamelas-diner-pittsburgh-3
209	groceria-merante-pittsburgh
210	pints-on-penn-pittsburgh
211	thai-spoon-pittsburgh
212	le-mont-pittsburgh-2
213	la-feria-pittsburgh-2
214	geppetto-cafe-pittsburgh-2
215	ephesus-mediterranean-kitchen-pittsburgh
216	murray-avenue-grill-pittsburgh
217	sarafinos-pasta-and-pizza-pittsburgh-2
218	remedy-pittsburgh
219	e-town-bar-and-grille-pittsburgh
220	mattress-factory-café-pittsburgh-3
221	moonlite-cafe-pittsburgh
222	olive-or-twist-pittsburgh
223	grand-concourse-restaurant-pittsburgh
224	the-beerhive-pittsburgh
225	mezzo-pittsburgh-2
226	bella-notte-pittsburgh
227	rivertowne-pittsburgh
